"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"13.03.2024","415.10","418.10","418.18","411.45","16.99M","-0.04%"
"12.03.2024","415.28","407.62","415.57","406.79","21.56M","2.66%"
"11.03.2024","404.52","403.76","405.68","401.26","16.12M","-0.42%"
"08.03.2024","406.22","407.96","410.42","404.33","18.00M","-0.71%"
"07.03.2024","409.14","406.12","409.78","402.24","18.22M","1.75%"
"06.03.2024","402.09","402.97","405.16","398.39","22.28M","-0.14%"
"05.03.2024","402.65","413.96","414.25","400.64","26.78M","-2.96%"
"04.03.2024","414.92","413.44","417.35","412.32","17.12M","-0.14%"
"01.03.2024","415.50","411.27","415.87","410.88","17.82M","0.45%"
"29.02.2024","413.64","408.64","414.20","405.92","31.73M","1.45%"
"28.02.2024","407.72","408.17","409.30","405.32","13.02M","0.06%"
"27.02.2024","407.48","407.99","408.32","403.85","14.75M","-0.01%"
"26.02.2024","407.54","411.45","412.16","407.36","15.94M","-0.68%"
"23.02.2024","410.34","415.67","415.86","408.97","16.30M","-0.32%"
"22.02.2024","411.65","410.19","412.83","408.57","25.39M","2.35%"
"21.02.2024","402.18","400.17","402.29","397.22","17.86M","-0.15%"
"20.02.2024","402.79","403.24","404.49","398.01","24.04M","-0.31%"
"16.02.2024","404.06","407.96","408.29","403.44","22.30M","-0.61%"
"15.02.2024","406.56","408.14","409.13","404.29","21.74M","-0.72%"
"14.02.2024","409.49","408.07","409.84","404.57","20.22M","0.78%"