"Date","Price","Open","High","Low","Vol.","Change %"
"10/27/2022","53.70","53.91","54.00","53.70","140.83M","0.66%"
"10/26/2022","53.35","52.95","53.50","52.77","28.07M","1.08%"
"10/25/2022","52.78","52.40","53.18","52.20","34.74M","2.45%"
"10/24/2022","51.52","50.71","51.86","50.52","22.55M","3.27%"
"10/21/2022","49.89","50.06","50.72","49.60","51.21M","-4.86%"
"10/20/2022","52.44","52.20","52.70","51.60","25.46M","1.18%"
"10/19/2022","51.83","51.80","52.16","51.26","10.06M","0.10%"
"10/18/2022","51.78","51.10","52.10","50.85","18.45M","2.05%"
"10/17/2022","50.74","50.50","50.90","50.20","14.10M","0.57%"
"10/14/2022","50.45","50.49","50.87","50.30","10.08M","0.22%"
"10/13/2022","50.34","49.80","51.07","49.52","18.18M","0.80%"
"10/12/2022","49.94","50.01","50.50","49.81","11.83M","-0.26%"
"10/11/2022","50.07","50.03","50.55","49.81","11.52M","-0.58%"
"10/10/2022","50.36","49.66","50.86","49.50","22.20M","2.40%"
"10/07/2022","49.18","49.03","49.49","48.16","32.63M","-0.43%"
"10/06/2022","49.39","50.98","51.55","49.29","65.25M","-3.72%"
"10/05/2022","51.30","50.26","52.00","50.20","74.56M","-1.35%"
"10/04/2022","52.00","42.81","52.30","42.55","47.37M","22.24%"
"10/03/2022","42.54","43.90","43.90","42.23","13.14M","-2.97%"
"09/30/2022","43.84","42.82","44.62","42.81","25.89M","2.57%"
"09/29/2022","42.74","43.00","43.17","42.39","8.72M","-1.18%"
"09/28/2022","43.25","42.59","43.53","42.38","12.83M","2.76%"
"09/27/2022","42.09","41.74","42.18","41.28","7.91M","1.37%"
"09/26/2022","41.52","41.50","43.52","40.66","23.92M","-0.14%"
"09/23/2022","41.58","41.48","41.77","40.85","9.14M","0.43%"
"09/22/2022","41.40","41.39","41.77","41.25","5.87M","0.32%"
"09/21/2022","41.27","41.79","42.19","41.27","7.00M","-0.98%"
"09/20/2022","41.68","41.44","42.11","40.93","7.22M","0.05%"
"09/19/2022","41.66","41.40","41.74","41.21","6.88M","0.51%"
"09/16/2022","41.45","41.83","41.95","41.25","26.47M","-1.64%"